time_s,reference,speed,measurement,command
0.0,0.0,0.0,0.0816367648554073,0.0
0.01,0.0,0.009021804626578514,-0.10222660125256727,0.4961992544618183
0.02,0.0,0.008857771815186178,0.025745758495609672,0.0
0.03,0.0,0.01039523953307293,-0.013853012429931014,0.09341849629895756
0.04,0.0,0.011157668361062415,-0.007710732151344903,0.05232882507249462
0.05,0.0,0.011082207105147351,0.0025337818374717783,0.00700729928573389
0.06,0.0,0.015553069107820984,-0.06971723806074269,0.2569796172521972
0.07,0.0,0.01527028603313333,0.006275774002053406,0.0
0.08,0.0,0.016078144825019285,-0.019338237017864336,0.05970251958686072
0.09,0.0,0.015785814919109842,0.1489981254908146,0.0
0.1,0.0,0.015752865182372282,0.024817279448226714,0.013973579398544083
0.11,0.0,0.017016038489283854,0.0016476334087084654,0.08522739706250872
0.12,0.0,0.01765520030016214,0.0057645417632298385,0.05216993808758959
0.13,0.0,0.019032148405243334,-0.009066653544195863,0.09338734607962784
0.14,0.0,0.021004601176936852,-0.02317387364296152,0.12751705084838671
0.15,0.0,0.020822410416299425,0.005372562087550662,0.01098410934187831
0.16,0.0,0.02044382113600307,0.04010022595657086,0.0
0.17,0.0,0.02046499576628896,0.010901676873068403,0.02160842580172693
0.18,0.0,0.020092904934174614,0.05877534388467952,0.0
0.19,0.0,0.020572240800686935,0.012100819771511414,0.04645637759235227
0.2,0.0,0.020278200341481232,0.02154262340375352,0.00440001554437325
0.21,0.0,0.019909505789817938,0.08211103438999372,0.0
0.22,0.0,0.019547514775457613,0.04171372669732372,0.0
0.23,0.0,0.02139050049803847,-0.0006616346491031093,0.12091172951740482
0.24,0.0,0.021834217301262015,0.014076941514129075,0.04579492467533332
0.25,0.0,0.02143723153214816,0.0434552225714541,0.0
0.26,0.0,0.021047463686109102,0.09884075289610227,0.0
0.27,0.0,0.022688010282386196,0.010262650592432563,0.11127752648134916
0.28,0.0,0.023690235742013586,0.012945663119222014,0.07781041056189274
0.29,0.0,0.023259504183067884,0.06378277979304123,0.0
0.3,0.0,0.025979423338501218,-0.012198893543355602,0.1728550577319013
