method,kp,ki,kd,rise_time_s,settling_time_s,overshoot_percent,steady_state_error,iae,ise
Manual,1.8,2.2,0.05,1.22,3.31,0.21704869505942415,0.0009446705093268948,0.4159320609460091,0.13749319149613953
Ziegler-Nichols relay,3.673903104801111,15.973491760004862,0.21124942852606346,0.6699999999999999,1.4000000000000001,1.5561406662730066,0.0010240685251108328,0.2728170168709045,0.11207664737620607
Numerical grid search,1.6,4.8,0.0,0.6699999999999999,2.0,2.102801706712995,0.0013481275618718591,0.2783880090279473,0.11882436997205771
