time_s,scan_period_s,conveyor_motor,motor_feedback,state,mode,fault_id
4.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
4.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
4.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
4.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
4.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
4.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
5.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
6.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
7.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
8.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
8.05,0.05,True,True,POSITIONING,AUTOMATIC,
8.1,0.05,True,True,SORTING,AUTOMATIC,
8.15,0.05,True,True,SORTING,AUTOMATIC,
8.2,0.05,True,True,SORTING,AUTOMATIC,
8.25,0.05,True,True,SORTING,AUTOMATIC,
8.3,0.05,True,True,SORTING,AUTOMATIC,
8.35,0.05,True,True,SORTING,AUTOMATIC,
8.4,0.05,True,True,SORTING,AUTOMATIC,
8.45,0.05,True,True,SORTING,AUTOMATIC,
8.5,0.05,True,True,SORTING,AUTOMATIC,
8.55,0.05,True,True,SORTING,AUTOMATIC,
8.6,0.05,True,True,SORTING,AUTOMATIC,
8.65,0.05,True,True,SORTING,AUTOMATIC,
8.7,0.05,True,True,SORTING,AUTOMATIC,
8.75,0.05,True,True,SORTING,AUTOMATIC,
8.8,0.05,True,True,SORTING,AUTOMATIC,
8.85,0.05,True,True,SORTING,AUTOMATIC,
8.9,0.05,True,True,SORTING,AUTOMATIC,
8.95,0.05,True,True,SORTING,AUTOMATIC,
9.0,0.05,True,True,SORTING,AUTOMATIC,
9.05,0.05,True,True,SORTING,AUTOMATIC,
9.1,0.05,True,True,SORTING,AUTOMATIC,
9.15,0.05,True,True,SORTING,AUTOMATIC,
